iter	Passed	Remaining
732	5763	2099
733	5772	2091
734	5779	2083
735	5788	2076
736	5795	2068
737	5804	2060
738	5812	2052
739	5820	2045
740	5827	2036
741	5835	2028
742	5844	2021
743	5852	2013
744	5860	2005
745	5868	1998
746	5876	1990
747	5885	1982
748	5892	1974
749	5898	1966
750	5907	1958
751	5915	1950
752	5923	1943
753	5931	1935
754	5941	1927
755	5949	1920
756	5957	1912
757	5967	1905
758	5976	1897
759	5983	1889
760	5991	1881
761	5998	1873
762	6006	1865
763	6013	1857
764	6021	1849
765	6028	1841
766	6036	1833
767	6044	1825
768	6053	1818
769	6061	1810
770	6068	1802
771	6074	1794
772	6082	1786
773	6090	1778
774	6098	1770
775	6106	1762
776	6115	1755
777	6122	1747
778	6136	1740
779	6146	1733
780	6153	1725
781	6161	1717
782	6169	1709
783	6175	1701
784	6183	1693
785	6190	1685
786	6199	1677
787	6207	1670
788	6216	1662
789	6226	1655
790	6237	1648
791	6246	1640
792	6255	1632
793	6263	1625
794	6270	1617
795	6278	1609
796	6286	1601
797	6293	1593
798	6301	1585
799	6309	1577
800	6317	1569
801	6325	1561
802	6333	1553
803	6340	1545
804	6349	1538
805	6358	1530
806	6368	1523
807	6379	1515
808	6387	1508
809	6395	1500
810	6402	1491
811	6409	1484
812	6416	1475
813	6425	1468
814	6431	1460
815	6439	1452
816	6448	1444
817	6456	1436
818	6463	1428
819	6472	1420
820	6482	1413
821	6489	1405
822	6497	1397
823	6505	1389
824	6514	1381
825	6522	1373
826	6529	1365
827	6536	1357
828	6543	1349
829	6550	1341
830	6559	1334
831	6569	1326
832	6580	1319
833	6592	1312
834	6604	1304
835	6614	1297
836	6623	1289
837	6631	1281
838	6639	1274
839	6644	1265
840	6654	1258
841	6663	1250
842	6672	1242
843	6679	1234
844	6687	1226
845	6694	1218
846	6701	1210
847	6709	1202
848	6715	1194
849	6723	1186
850	6730	1178
851	6738	1170
852	6746	1162
853	6755	1154
854	6764	1147
855	6772	1139
856	6779	1131
857	6785	1123
858	6794	1115
859	6802	1107
860	6810	1099
861	6817	1091
862	6824	1083
863	6831	1075
864	6840	1067
865	6847	1059
866	6855	1051
867	6862	1043
868	6870	1035
869	6880	1028
870	6889	1020
871	6904	1013
872	6915	1006
873	6929	998
874	6940	991
875	6952	984
876	6964	976
877	6975	969
878	6984	961
879	6992	953
880	7000	945
881	7007	937
882	7014	929
883	7022	921
884	7030	913
885	7037	905
886	7044	897
887	7052	889
888	7059	881
889	7066	873
890	7074	865
891	7083	857
892	7094	850
893	7102	842
894	7110	834
895	7119	826
896	7126	818
897	7134	810
898	7141	802
899	7149	794
900	7156	786
901	7163	778
902	7170	770
903	7178	762
904	7185	754
905	7192	746
906	7201	738
907	7211	730
908	7232	723
909	7254	717
910	7278	711
911	7301	704
912	7355	700
913	7385	694
914	7423	689
915	7464	684
916	7486	677
917	7505	670
